CUP,SHE,WEI,NAM,RAT
0.33,3,1,100% Bran,68.402973
1,3,1,100% Natural Bran,33.983679
0.33,3,1,All-Bran,59.425505
0.5,3,1,All-Bran with Extra Fiber,93.704912
0.75,3,1,Almond Delight,34.384843
0.75,1,1,Apple Cinnamon Cheerios,29.509541
1,2,1,Apple Jacks,33.174094
0.75,3,1.33,Basic 4,37.038562
0.67,1,1,Bran Chex,49.120253
0.67,3,1,Bran Flakes,53.313813
0.75,2,1,Cap'n'Crunch,18.042851
1.25,1,1,Cheerios,50.764999
0.75,2,1,Cinnamon Toast Crunch,19.823573
0.5,3,1,Clusters,40.400208
,,,Cocoa Pebbles,
1,2,1,Cocoa Puffs,22.736446
1,1,1,Corn Chex,41.445019
1,1,1,Corn Flakes,45.863324
1,2,1,Corn Pops,35.782791
1,2,1,Count Chocula,22.396513
0.5,3,1,Cracklin' Oat Bran,40.448772
1,2,1,Cream of Wheat (Quick),64.533816
1,3,1,Crispix,46.895644
0.75,3,1,Crispy Wheat & Raisins,36.176196
0.75,3,1,Double Chex,44.330856
1,2,1,Froot Loops,32.207582
0.75,1,1,Frosted Flakes,31.435973
0.8,2,1,Frosted Mini-Wheats,58.345141
0.67,3,1.25,Fruit & Fibre Dates; Walnuts; and Oats,40.917047
0.67,3,1.33,Fruitful Bran,41.015492
0.75,2,1,Fruity Pebbles,28.025765
0.88,1,1,Golden Crisp,35.252444
0.75,2,1,Golden Grahams,23.804043
0.88,3,1,Grape Nuts Flakes,52.076897
0.25,3,1,Grape-Nuts,53.371007
0.33,3,1,Great Grains Pecan,45.811716
1,2,1,Honey Graham Ohs,21.871292
0.75,1,1,Honey Nut Cheerios,31.072217
1.33,1,1,Honey-comb,28.742414
1,3,1,Just Right Crunchy  Nuggets,36.523683
0.75,3,1.3,Just Right Fruit & Nut,36.471512
1.5,2,1,Kix,39.241114
0.67,2,1,Life,45.328074
1,2,1,Lucky Charms,26.734515
1,2,1,Maypo,54.850917
1,3,1,Muesli Raisins; Dates; & Almonds,37.136863
1,3,1,Muesli Raisins; Peaches; & Pecans,34.139765
0.67,3,1.5,Mueslix Crispy Blend,30.313351
1,1,1,Multi-Grain Cheerios,40.105965
0.67,2,1,Nut&Honey Crunch,29.924285
0.67,3,1.33,Nutri-Grain Almond-Raisin,40.69232
1,3,1,Nutri-grain Wheat,59.642837
0.5,3,1.25,Oatmeal Raisin Crisp,30.450843
0.67,3,1.33,Post Nat. Raisin Bran,37.840594
1,3,1,Product 19,41.50354
1,3,0.5,Puffed Rice,60.756112
1,3,0.5,Puffed Wheat,63.005645
0.5,3,1,Quaker Oat Squares,49.511874
0.67,1,1,Quaker Oatmeal,50.828392
0.75,2,1.33,Raisin Bran,39.259197
0.5,3,1,Raisin Nut Bran,39.7034
0.5,3,1,Raisin Squares,55.333142
1.13,1,1,Rice Chex,41.998933
1,1,1,Rice Krispies,40.560159
1,1,0.83,Shredded Wheat,68.235885
0.67,1,1,Shredded Wheat 'n'Bran,74.472949
0.67,1,1,Shredded Wheat spoon size,72.801787
0.75,2,1,Smacks,31.230054
1,1,1,Special K,53.131324
1,2,1,Strawberry Fruit Wheats,59.363993
1,3,1,Total Corn Flakes,38.839746
1,3,1.5,Total Raisin Bran,28.592785
1,3,1,Total Whole Grain,46.658844
0.75,3,1,Triples,39.106174
1,2,1,Trix,27.753301
0.67,1,1,Wheat Chex,49.787445
1,1,1,Wheaties,51.592193
0.75,1,1,Wheaties Honey Gold,36.187559
